"Geographic_Region","NoSample","SlopeK","Intercept","p_value","adjR2"
"Africa",97,-0.719153630427078,-1.08558276403788,2.44270784664511e-14,0.728825783914966
"America NC",41,-0.781641552731713,-1.05673307972164,2.42485097201304e-13,0.918897868859376
"America S",18,-0.766090856805823,-1.14704207232493,0.000461922270801754,0.883622486067795
"CS Asia",36,-0.870978968509295,-1.10849180231424,2.70599465582747e-13,0.898624848865981
"East Asia",84,-0.638498136358456,-0.87863448823258,4.15695826507068e-13,0.808362460990936
"Europe",223,-0.846848514456623,-1.07841820935511,1.5716977067647e-41,0.720854051770816
"Middle East",14,-0.591919197183376,-0.995258673133354,0.00203316468570178,0.801714462500562
"Pacific",19,-0.976396983091593,-1.16019520182292,2.88978895758964e-05,0.639317499421185
