"Region","NoSample","Vowel_Number_mean","Vowel_Number_median","Vowel_Number_se","Dispersion_mean","Dispersion_median","Dispersion_se","Focalization_log_mean","Focalization_log_median","Focalization_log_se","Articulatory_Space_mean","Articulatory_Space_median","Articulatory_Space_se","Effective_DE_log_mean","Effective_DE_log_median","Effective_DE_log_se"
"Africa",97,6.96907216494845,7,0.196322290211521,2.49111443298969,2.4212,0.0646334715477032,-0.593653303484039,-0.568636235841013,0.020092384314532,12.1693659793814,12.2171,0.430183235360911,-0.669745426846108,-0.690369832574101,0.0213493365888819
"America NC",41,5.48780487804878,5,0.384330192164448,2.867,2.8011,0.121529101101893,-0.683876395967258,-0.689731633367552,0.036865008688521,9.08828292682927,8.8835,0.745653744651929,-0.442518485507152,-0.494036481981874,0.0413042414499071
"America S",18,5,5,0.268133222179948,3.07506111111111,3.0737,0.156808243109592,-0.746245039854953,-0.780771547299239,0.0415477133392134,10.5053055555556,10.06455,0.8154295854667,-0.521529059466227,-0.541290101241731,0.0413225806556225
"CS Asia",36,6.16666666666667,6,0.339233496399405,2.74498333333333,2.6368,0.105419633837406,-0.577735511716211,-0.57708279344298,0.0377579264671615,12.0294277777778,10.42995,0.979133021408672,-0.600576445737774,-0.638022321624505,0.0362359771056342
"East Asia",84,7.23809523809524,7,0.284228302506624,2.74012857142857,2.6934,0.0617305781501165,-0.455653518744712,-0.452849931304982,0.0249237760764069,13.5028797619048,13.33225,0.590802558955469,-0.662418099815786,-0.725958422970145,0.0223391876446255
"Europe",223,7.0762331838565,7,0.125013960023157,2.6767735426009,2.641,0.0347381890060373,-0.525010687796642,-0.529589509024069,0.0105002473356997,12.7269430493274,12.5038,0.279438931334246,-0.660614190550774,-0.662540738709344,0.00903758791698788
"Middle East",14,5.42857142857143,5,0.428571428571429,2.48912142857143,2.5123,0.114984717177799,-0.732614323448483,-0.696217806343506,0.0482348302659836,7.6875,7.294,0.676474642930149,-0.471681447063608,-0.496483823859212,0.0515358304430035
"Pacific",19,6.10526315789474,6,0.314324085388928,2.59922631578947,2.4956,0.0953294416584233,-0.568551497056747,-0.583525920899779,0.039429941441287,11.0844894736842,10.1473,0.92255507868648,-0.605945855027973,-0.632644078973981,0.0326177021894618
